song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
Redbone,Childish Gambino,44,2010,Childish Gambino,2016-12-02,Redbone,Childish Gambino,0wXuerDYiBnERgIpbb3JBR,spotify:track:0wXuerDYiBnERgIpbb3JBR,79,0.167,https://api.spotify.com/v1/audio-analysis/0wXuerDYiBnERgIpbb3JBR,0.743,326933.0,0.347,0.00951,1.0,0.103,-11.174,1.0,0.121,160.143,4.0,0.572,True,"['atl hip hop', 'hip hop', 'pop', 'pop rap', 'rap']",rap
Royals,Lorde,44,2010,Lorde,2013-01-01,Royals,Lorde,2dLLR6qlu5UJ5gk0dKz0h3,spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,76,0.106,https://api.spotify.com/v1/audio-analysis/2dLLR6qlu5UJ5gk0dKz0h3,0.616,190185.0,0.432,0.0,7.0,0.132,-9.546,1.0,0.133,84.778,4.0,0.302,False,"['art pop', 'dance pop', 'electropop', 'metropopolis', 'nz pop', 'pop']",pop
I Won't Give Up,Jason Mraz,44,2010,Jason Mraz,2012-04-13,I Won't Give Up,Jason Mraz,53QF56cjZA9RTuuMZDrSA6,spotify:track:53QF56cjZA9RTuuMZDrSA6,69,0.694,https://api.spotify.com/v1/audio-analysis/53QF56cjZA9RTuuMZDrSA6,0.585,240166.0,0.303,0.0,4.0,0.115,-10.058,1.0,0.0398,136.703,3.0,0.142,False,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",pop
Feel It Still,Portugal. The Man,44,2010,Portugal. The Man,2017-06-16,Feel It Still,Portugal. The Man,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,80,0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253.0,0.795,0.000113,1.0,0.0717,-5.115,0.0,0.0504,79.028,4.0,0.754,False,"['indie pop', 'indie rock', 'modern rock']",unknown
Too Close,Alex Clare,44,2010,Alex Clare,2011,Too Close,Alex Clare,4sK96UnGx3NjBaqvfTG2dm,spotify:track:4sK96UnGx3NjBaqvfTG2dm,57,0.0137,https://api.spotify.com/v1/audio-analysis/4sK96UnGx3NjBaqvfTG2dm,0.579,256560.0,0.731,0.0,11.0,0.113,-4.16,0.0,0.0452,126.07,4.0,0.284,False,['modern alternative rock'],rock
Earned It (Fifty Shades Of Grey),The Weeknd,43,2010,The Weeknd,2015-08-28,Earned It (Fifty Shades Of Grey),The Weeknd,4frLb7nWtsz2ymBE6k2GRP,spotify:track:4frLb7nWtsz2ymBE6k2GRP,67,0.408,https://api.spotify.com/v1/audio-analysis/4frLb7nWtsz2ymBE6k2GRP,0.647,277680.0,0.291,0.0,2.0,0.0771,-8.275,0.0,0.0363,119.839,3.0,0.4,True,"['canadian contemporary r&b', 'canadian pop', 'pop', 'rap']",pop
Let Her Go,Passenger,43,2010,Passenger,2012-06-29,Let Her Go,Passenger,6GmUVqe73u5YRfUUynZK6I,spotify:track:6GmUVqe73u5YRfUUynZK6I,70,0.365,https://api.spotify.com/v1/audio-analysis/6GmUVqe73u5YRfUUynZK6I,0.479,252733.0,0.545,0.0,7.0,0.0963,-7.346,1.0,0.0688,74.897,4.0,0.244,False,"['indie folk', 'neo mellow', 'pop']",unknown
Location,Khalid,43,2010,Khalid,2017-04-27,Location,Khalid,152lZdxL1OR0ZMW6KquMif,spotify:track:152lZdxL1OR0ZMW6KquMif,81,0.33,https://api.spotify.com/v1/audio-analysis/152lZdxL1OR0ZMW6KquMif,0.736,219080.0,0.449,0.000162,1.0,0.0898,-11.462,0.0,0.425,80.126,4.0,0.326,False,['pop'],pop
Set Fire To The Rain,Adele,43,2010,Adele,2011-01-19,Set Fire to the Rain,Adele,3CKCZ9pfwAfoMZlMncA1Nc,spotify:track:3CKCZ9pfwAfoMZlMncA1Nc,72,0.00382,https://api.spotify.com/v1/audio-analysis/3CKCZ9pfwAfoMZlMncA1Nc,0.61,241693.0,0.683,1.79e-06,2.0,0.125,-3.879,0.0,0.0253,108.003,4.0,0.466,False,"['british soul', 'pop', 'uk pop']",pop
You Say,Lauren Daigle,43,2010,Lauren Daigle,2018-09-07,You Say,Lauren Daigle,6Up545NUflOiXo8cEraH49,spotify:track:6Up545NUflOiXo8cEraH49,80,0.682,https://api.spotify.com/v1/audio-analysis/6Up545NUflOiXo8cEraH49,0.486,274693.0,0.632,0.0,5.0,0.0869,-6.89,1.0,0.0344,147.892,4.0,0.0791,False,"['ccm', 'christian music', 'worship']",unknown
Scars To Your Beautiful,Alessia Cara,43,2010,Alessia Cara,2015-11-13,Scars To Your Beautiful,Alessia Cara,0prNGof3XqfTvNDxHonvdK,spotify:track:0prNGof3XqfTvNDxHonvdK,72,0.0285,https://api.spotify.com/v1/audio-analysis/0prNGof3XqfTvNDxHonvdK,0.573,230227.0,0.739,0.0,0.0,0.111,-5.74,1.0,0.129,97.085,4.0,0.451,False,"['canadian contemporary r&b', 'dance pop', 'pop', 'post-teen pop']",pop
"Hey, Soul Sister",Train,43,2010,Train,2010-12-01,"Hey, Soul Sister",Train,4HlFJV71xXKIGcU3kRyttv,spotify:track:4HlFJV71xXKIGcU3kRyttv,81,0.185,https://api.spotify.com/v1/audio-analysis/4HlFJV71xXKIGcU3kRyttv,0.673,216773.0,0.886,0.0,1.0,0.0826,-4.44,0.0,0.0431,97.012,4.0,0.795,False,"['neo mellow', 'pop', 'pop rock']",pop
Safe And Sound,Capital Cities,43,2010,Capital Cities,2013,Safe And Sound,Capital Cities,6Z8R6UsFuGXGtiIxiD8ISb,spotify:track:6Z8R6UsFuGXGtiIxiD8ISb,75,0.000194,https://api.spotify.com/v1/audio-analysis/6Z8R6UsFuGXGtiIxiD8ISb,0.656,192790.0,0.821,0.00232,0.0,0.101,-4.838,1.0,0.0325,117.948,5.0,0.791,False,"['alternative dance', 'indie pop', 'metropopolis', 'modern rock', 'pop']",pop
Sugar,Maroon 5,42,2010,Maroon 5,2015-05-15,Sugar,Maroon 5,2iuZJX9X9P0GKaE93xcPjk,spotify:track:2iuZJX9X9P0GKaE93xcPjk,77,0.0591,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,0.748,235493.0,0.788,0.0,1.0,0.0863,-7.055,1.0,0.0334,120.076,4.0,0.884,True,['pop'],pop
Sorry,Justin Bieber,42,2010,Justin Bieber,2015-11-13,Sorry,Justin Bieber,09CtPGIpYB4BrO8qb1RGsF,spotify:track:09CtPGIpYB4BrO8qb1RGsF,78,0.0865,https://api.spotify.com/v1/audio-analysis/09CtPGIpYB4BrO8qb1RGsF,0.605,200787.0,0.768,0.0,0.0,0.308,-3.724,0.0,0.0476,100.209,4.0,0.414,False,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",pop
Brave,Sara Bareilles,42,2010,Sara Bareilles,2013-07-16,Brave,Sara Bareilles,6Uy6K3KdmUdAfelUp0SeXn,spotify:track:6Uy6K3KdmUdAfelUp0SeXn,69,0.00502,https://api.spotify.com/v1/audio-analysis/6Uy6K3KdmUdAfelUp0SeXn,0.551,220573.0,0.836,2.1e-05,10.0,0.0425,-3.838,0.0,0.0524,185.063,4.0,0.758,False,"['acoustic pop', 'dance pop', 'folk-pop', 'lilith', 'neo mellow', 'pop', 'pop rock']",pop
Just A Kiss,Lady Antebellum,42,2010,Lady Antebellum,2011-01-01,Just A Kiss,Lady Antebellum,2nRvKHh2mtOfIQ4jcAkP9q,spotify:track:2nRvKHh2mtOfIQ4jcAkP9q,60,0.446,https://api.spotify.com/v1/audio-analysis/2nRvKHh2mtOfIQ4jcAkP9q,0.593,218840.0,0.639,0.0,1.0,0.0998,-5.826,1.0,0.0307,142.881,4.0,0.332,False,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road', 'neo mellow']",country
Sexy And I Know It,LMFAO,42,2010,LMFAO,2011-01-01,Sexy And I Know It,LMFAO,0obBFrPYkSoBJbvHfUIhkv,spotify:track:0obBFrPYkSoBJbvHfUIhkv,59,0.1,https://api.spotify.com/v1/audio-analysis/0obBFrPYkSoBJbvHfUIhkv,0.707,199480.0,0.861,0.0,7.0,0.191,-4.225,1.0,0.316,130.021,4.0,0.795,False,"['dance pop', 'pop', 'pop rap']",pop
We Are Young,fun. Featuring Janelle Monae,42,2010,fun. ,2012-02-21,We Are Young (feat. Janelle Monáe),fun.,7a86XRg84qjasly9f6bPSD,spotify:track:7a86XRg84qjasly9f6bPSD,70,0.02,https://api.spotify.com/v1/audio-analysis/7a86XRg84qjasly9f6bPSD,0.378,250627.0,0.638,7.66e-05,10.0,0.0849,-5.576,1.0,0.075,184.086,4.0,0.735,False,"['baroque pop', 'metropopolis', 'modern rock', 'pop', 'pop rap']",pop
