song,performer,count,decade,main_performer,release_date,title,main_artist,spotify_id,spotify_link,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,explicit,genres,broad_genre
Always,Bon Jovi,32,1990,Bon Jovi,1994-10-18,Always,Bon Jovi,2RChe0r2cMoyOvuKobZy44,spotify:track:2RChe0r2cMoyOvuKobZy44,74,0.117,https://api.spotify.com/v1/audio-analysis/2RChe0r2cMoyOvuKobZy44,0.383,353027.0,0.659,0.0,4.0,0.0778,-5.558,1.0,0.0312,140.795,4.0,0.327,False,"['glam metal', 'rock']",rock
Creep,TLC,32,1990,TLC,1994-11-15,Creep,TLC,1aWV3uY3SIEZVbmv45oFWS,spotify:track:1aWV3uY3SIEZVbmv45oFWS,65,0.0193,https://api.spotify.com/v1/audio-analysis/1aWV3uY3SIEZVbmv45oFWS,0.811,268533.0,0.458,1.41e-06,5.0,0.0526,-9.688,0.0,0.0402,92.94,4.0,0.797,False,"['atl hip hop', 'dance pop', 'girl group', 'hip hop', 'hip pop', 'new jack swing', 'pop', 'r&b', 'urban contemporary']",rap
Fly Away,Lenny Kravitz,32,1990,Lenny Kravitz,1998-05-12,Fly Away,Lenny Kravitz,1OxcIUqVmVYxT6427tbhDW,spotify:track:1OxcIUqVmVYxT6427tbhDW,68,0.018,https://api.spotify.com/v1/audio-analysis/1OxcIUqVmVYxT6427tbhDW,0.586,221333.0,0.872,0.0,7.0,0.622,-5.066,1.0,0.0483,159.925,4.0,0.729,False,"['permanent wave', 'pop rock', 'rock']",rock
Ironic,Alanis Morissette,32,1990,Alanis Morissette,1995-06-09,Ironic,Alanis Morissette,4oGTdOClZUxcM2H3UmXlwL,spotify:track:4oGTdOClZUxcM2H3UmXlwL,57,0.25,https://api.spotify.com/v1/audio-analysis/4oGTdOClZUxcM2H3UmXlwL,0.295,225933.0,0.593,0.0,11.0,0.236,-7.572,1.0,0.0555,85.482,4.0,0.37,False,"['alternative rock', 'canadian pop', 'canadian singer-songwriter', 'folk-pop', 'pop rock', 'singer-songwriter']",rock
Tainted Love,Soft Cell,43,1980,Soft Cell,1981,Tainted Love,Soft Cell,58E1XVmZTODC67YNjneuXM,spotify:track:58E1XVmZTODC67YNjneuXM,66,0.558,https://api.spotify.com/v1/audio-analysis/58E1XVmZTODC67YNjneuXM,0.542,153840.0,0.45,6.43e-06,7.0,0.579,-9.931,0.0,0.0361,144.437,4.0,0.626,False,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'synthpop']",pop
What About Me,Moving Pictures,43,1980,Moving Pictures,2015-10-09,What About Me?,Moving Pictures,0sUY9EnmEocSiOmrC8KJQr,spotify:track:0sUY9EnmEocSiOmrC8KJQr,27,0.527,https://api.spotify.com/v1/audio-analysis/0sUY9EnmEocSiOmrC8KJQr,0.61,219432.0,0.398,1.07e-06,5.0,0.135,-6.782,1.0,0.0253,109.884,4.0,0.205,False,['australian rock'],pop
I'm So Excited,The Pointer Sisters,40,1980,The Pointer Sisters,2008-04-15,I’m So Excited,The Pointer Sisters,6o8zvk4UF8chcVMLHLvU1n,spotify:track:6o8zvk4UF8chcVMLHLvU1n,19,0.0123,https://api.spotify.com/v1/audio-analysis/6o8zvk4UF8chcVMLHLvU1n,0.634,460653.0,0.889,1.87e-05,5.0,0.809,-4.997,0.0,0.0409,96.567,4.0,0.34,False,"['dance pop', 'dance rock', 'disco', 'europop', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'post-disco', 'quiet storm', 'soft rock']",pop
Red Red Wine,UB40,40,1980,UB40,2000,Red Red Wine,UB40,4uOKFydzAejjSFqYbv1XPt,spotify:track:4uOKFydzAejjSFqYbv1XPt,74,0.00414,https://api.spotify.com/v1/audio-analysis/4uOKFydzAejjSFqYbv1XPt,0.857,183113.0,0.468,1.32e-05,1.0,0.269,-8.53,1.0,0.0476,89.119,4.0,0.843,False,"['reggae fusion', 'uk reggae']",unknown
Into The Night,Benny Mardones,37,1980,Benny Mardones,1980-01-01,Into The Night,Benny Mardones,0rhyBUAgNXwdyvGVXSrLzc,spotify:track:0rhyBUAgNXwdyvGVXSrLzc,49,0.499,https://api.spotify.com/v1/audio-analysis/0rhyBUAgNXwdyvGVXSrLzc,0.585,271800.0,0.692,0.0,0.0,0.0945,-6.554,0.0,0.0295,81.954,4.0,0.518,False,['soft rock'],rock
Gloria,Laura Branigan,36,1980,Laura Branigan,1995-06-06,Gloria,Laura Branigan,15ob9SMGLWrexuPuyuMjKl,spotify:track:15ob9SMGLWrexuPuyuMjKl,67,0.135,https://api.spotify.com/v1/audio-analysis/15ob9SMGLWrexuPuyuMjKl,0.775,295067.0,0.866,0.0376,9.0,0.152,-3.598,1.0,0.0295,131.34,4.0,0.876,False,"['dance rock', 'europop', 'new romantic', 'new wave pop', 'soft rock', 'synthpop']",rock
"Baby, Come To Me",Patti Austin With James Ingram,32,1980,Patti Austin With James Ingram,1999-02-09,"Baby, Come To Me",Quincy Jones,0jqPIQVhfULwm81K7jlNeC,spotify:track:0jqPIQVhfULwm81K7jlNeC,10,0.738,https://api.spotify.com/v1/audio-analysis/0jqPIQVhfULwm81K7jlNeC,0.625,217600.0,0.523,7.17e-06,10.0,0.125,-10.903,1.0,0.0859,90.226,4.0,0.666,False,"['disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul']",pop
Another One Bites The Dust,Queen,31,1980,Queen,1980-06-27,Another One Bites The Dust - Remastered 2011,Queen,57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,74,0.115,https://api.spotify.com/v1/audio-analysis/57JVGBtBLCfHw2muk5416J,0.951,214653.0,0.53,0.179,5.0,0.17,-6.594,0.0,0.178,109.979,4.0,0.699,False,"['glam rock', 'rock']",rock
In My Dreams,REO Speedwagon,30,1980,REO Speedwagon,1987-02-15,In My Dreams,REO Speedwagon,5ZeKZBB57EnctaXih6hJvE,spotify:track:5ZeKZBB57EnctaXih6hJvE,49,0.0476,https://api.spotify.com/v1/audio-analysis/5ZeKZBB57EnctaXih6hJvE,0.623,270227.0,0.38,0.0,11.0,0.3,-15.221,1.0,0.0309,144.882,4.0,0.46,False,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",rock
Celebration,Kool & The Gang,30,1980,Kool & The Gang,1980-09-29,Celebration,Kool & The Gang,3K7Q9PHUWPTaknlbFPThn2,spotify:track:3K7Q9PHUWPTaknlbFPThn2,61,0.13,https://api.spotify.com/v1/audio-analysis/3K7Q9PHUWPTaknlbFPThn2,0.894,298867.0,0.642,0.028,1.0,0.0833,-11.854,1.0,0.0589,121.654,4.0,0.898,False,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",pop
Our Lips Are Sealed,Go-Go's,30,1980,Go-Go's,1981-01-01,Our Lips Are Sealed - Single Version,The Go-Go's,1GVnAD8Iz45rux6EC657Yv,spotify:track:1GVnAD8Iz45rux6EC657Yv,55,0.0444,https://api.spotify.com/v1/audio-analysis/1GVnAD8Iz45rux6EC657Yv,0.607,167960.0,0.864,2.95e-06,8.0,0.0341,-7.101,1.0,0.0522,131.203,4.0,0.947,False,"['album rock', 'candy pop', 'dance rock', 'girl group', 'jangle pop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock']",pop
Borderline,Madonna,30,1980,Madonna,2009-09-18,Borderline,Madonna,4FMNpPI7mkhdeFCCk6fZiE,spotify:track:4FMNpPI7mkhdeFCCk6fZiE,54,0.082,https://api.spotify.com/v1/audio-analysis/4FMNpPI7mkhdeFCCk6fZiE,0.807,238360.0,0.764,3.87e-05,2.0,0.115,-5.186,1.0,0.0312,119.867,4.0,0.371,False,['dance pop'],pop
I Know There's Something Going On,Frida,29,1980,Frida,1982-09-06,I Know There's Something Going On,Frida,6CT0MVgHnoAUXrSrnlwfWx,spotify:track:6CT0MVgHnoAUXrSrnlwfWx,44,0.0412,https://api.spotify.com/v1/audio-analysis/6CT0MVgHnoAUXrSrnlwfWx,0.585,326747.0,0.795,0.291,2.0,0.0834,-8.269,0.0,0.0358,109.011,4.0,0.865,False,"['indie singer-songwriter', 'swedish synthpop']",unknown
Break My Stride,Matthew Wilder,29,1980,Matthew Wilder,1983,Break My Stride,Matthew Wilder,1mCsF9Tw4AkIZOjvZbZZdT,spotify:track:1mCsF9Tw4AkIZOjvZbZZdT,67,0.195,https://api.spotify.com/v1/audio-analysis/1mCsF9Tw4AkIZOjvZbZZdT,0.917,184480.0,0.588,0.0,10.0,0.0914,-11.047,1.0,0.0607,110.077,4.0,0.828,False,['new wave pop'],pop
You Can Call Me Al,Paul Simon,29,1980,Paul Simon,1986-08-12,You Can Call Me Al,Paul Simon,0qxYx4F3vm1AOnfux6dDxP,spotify:track:0qxYx4F3vm1AOnfux6dDxP,74,0.182,https://api.spotify.com/v1/audio-analysis/0qxYx4F3vm1AOnfux6dDxP,0.776,280000.0,0.763,0.0065,5.0,0.077,-8.124,1.0,0.0535,128.433,4.0,0.82,False,"['classic rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'permanent wave', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']",rock
Total Eclipse Of The Heart,Bonnie Tyler,29,1980,Bonnie Tyler,1999-02-08,Total Eclipse of the Heart,Bonnie Tyler,5prTs2HAw2G4idHZyeFp8o,spotify:track:5prTs2HAw2G4idHZyeFp8o,74,0.195,https://api.spotify.com/v1/audio-analysis/5prTs2HAw2G4idHZyeFp8o,0.435,269787.0,0.658,0.0,8.0,0.102,-8.179,1.0,0.0661,130.276,4.0,0.184,False,"['disco', 'europop', 'new wave pop', 'soft rock']",pop
Key Largo,Bertie Higgins,29,1980,Bertie Higgins,2014-07-23,Key Largo,Bertie Higgins,41v56RunWqxgqTD4H2cwOD,spotify:track:41v56RunWqxgqTD4H2cwOD,43,0.443,https://api.spotify.com/v1/audio-analysis/41v56RunWqxgqTD4H2cwOD,0.503,198947.0,0.659,0.0,0.0,0.153,-6.829,1.0,0.0356,101.668,4.0,0.33,False,['soft rock'],rock
Hands To Heaven,Breathe,29,1980,Breathe,1988-01-01,Hands To Heaven,Breathe,0LBtQiEVfP4ysLQ43Do8uN,spotify:track:0LBtQiEVfP4ysLQ43Do8uN,45,0.242,https://api.spotify.com/v1/audio-analysis/0LBtQiEVfP4ysLQ43Do8uN,0.543,259507.0,0.384,1.16e-06,8.0,0.266,-15.018,1.0,0.0307,128.768,4.0,0.407,False,"['edm', 'electro house', 'electropowerpop', 'emo', 'neon pop punk', 'pop punk', 'screamo', 'trancecore']",pop
"Tonight, I Celebrate My Love",Peabo Bryson/Roberta Flack,29,1980,Peabo Bryson/Roberta Flack,2005-03-22,"Tonight, I Celebrate My Love",Peabo Bryson,46K6ha7ewGSY30ob1B0JMI,spotify:track:46K6ha7ewGSY30ob1B0JMI,42,0.753,https://api.spotify.com/v1/audio-analysis/46K6ha7ewGSY30ob1B0JMI,0.439,209627.0,0.35,4.16e-05,3.0,0.15,-9.639,1.0,0.0293,117.081,4.0,0.176,False,"['adult standards', 'new jack swing', 'quiet storm', 'soft rock', 'urban contemporary']",pop
I Miss You,Klymaxx,29,1980,Klymaxx,1984-01-01,I Miss You,Klymaxx,3d6UefBBvhqHxJLZdm8scF,spotify:track:3d6UefBBvhqHxJLZdm8scF,33,0.477,https://api.spotify.com/v1/audio-analysis/3d6UefBBvhqHxJLZdm8scF,0.548,333267.0,0.356,0.0,5.0,0.266,-18.149,1.0,0.036,139.536,4.0,0.277,False,"['freestyle', 'funk', 'minneapolis sound', 'new jack swing', 'post-disco', 'quiet storm', 'urban contemporary']",unknown
Upside Down,Diana Ross,29,1980,Diana Ross,1980-05-22,Upside Down,Diana Ross,3pbtBomO4Zt5gGiqsYeiBH,spotify:track:3pbtBomO4Zt5gGiqsYeiBH,57,0.175,https://api.spotify.com/v1/audio-analysis/3pbtBomO4Zt5gGiqsYeiBH,0.877,245600.0,0.843,0.0522,5.0,0.0447,-8.518,0.0,0.0672,107.848,4.0,0.866,False,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",pop
Keep On Loving You,REO Speedwagon,28,1980,REO Speedwagon,1980,Keep on Loving You - Remastered,REO Speedwagon,4rcHWl68ai6KvpXlc8vbnE,spotify:track:4rcHWl68ai6KvpXlc8vbnE,70,0.0519,https://api.spotify.com/v1/audio-analysis/4rcHWl68ai6KvpXlc8vbnE,0.306,200293.0,0.722,0.0,0.0,0.117,-5.963,1.0,0.034,174.732,4.0,0.41,False,"['album rock', 'classic rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",rock
Only In My Dreams,Debbie Gibson,28,1980,Debbie Gibson,1987,Only in My Dreams,Debbie Gibson,03i9ehMBCqbxKw7wwEycFZ,spotify:track:03i9ehMBCqbxKw7wwEycFZ,48,0.124,https://api.spotify.com/v1/audio-analysis/03i9ehMBCqbxKw7wwEycFZ,0.612,233400.0,0.796,0.00477,8.0,0.0888,-10.885,1.0,0.0395,124.854,4.0,0.895,False,"['new wave pop', 'soft rock']",pop
Please Don't Go Girl,New Kids On The Block,28,1980,New Kids On The Block,1986,Please Don't Go Girl - Single Version,New Kids On The Block,3uWDev1JIiPQgH6FRX5HyM,spotify:track:3uWDev1JIiPQgH6FRX5HyM,44,0.187,https://api.spotify.com/v1/audio-analysis/3uWDev1JIiPQgH6FRX5HyM,0.661,247227.0,0.598,0.0,3.0,0.0605,-6.967,1.0,0.0359,151.538,4.0,0.653,False,"['boy band', 'dance pop']",pop
Hooked On You,Sweet Sensation,28,1980,Sweet Sensation,1988-05-24,Hooked on You,Sweet Sensation,10YVwkKPhlLgivLOM54IyH,spotify:track:10YVwkKPhlLgivLOM54IyH,41,0.00975,https://api.spotify.com/v1/audio-analysis/10YVwkKPhlLgivLOM54IyH,0.779,310960.0,0.797,0.0249,1.0,0.171,-7.081,1.0,0.0581,115.244,4.0,0.96,False,['freestyle'],unknown
Here I Go Again,Whitesnake,28,1980,Whitesnake,1987-04-07,Here I Go Again 87 - 2018 Remaster,Whitesnake,1qOU8KzFifXE9YrgjVwYvc,spotify:track:1qOU8KzFifXE9YrgjVwYvc,65,0.0117,https://api.spotify.com/v1/audio-analysis/1qOU8KzFifXE9YrgjVwYvc,0.292,275395.0,0.823,7.79e-05,7.0,0.155,-6.763,1.0,0.0407,89.939,4.0,0.244,False,"['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",rock
I Love A Rainy Night,Eddie Rabbitt,28,1980,Eddie Rabbitt,1976,I Love a Rainy Night,Eddie Rabbitt,0zvNHIL7ci0ZzIoWU6RO2u,spotify:track:0zvNHIL7ci0ZzIoWU6RO2u,58,0.122,https://api.spotify.com/v1/audio-analysis/0zvNHIL7ci0ZzIoWU6RO2u,0.685,191067.0,0.718,0.0,0.0,0.0556,-7.724,1.0,0.0521,131.463,4.0,0.958,False,"['country', 'country gospel', 'country rock', 'mellow gold', 'nashville sound', 'outlaw country', 'traditional country']",country
When I'm With You,Sheriff,28,1980,Sheriff,1982-01-01,When I'm With You,Sheriff,3RJof5CojqlbgZ5adHw50O,spotify:track:3RJof5CojqlbgZ5adHw50O,50,0.274,https://api.spotify.com/v1/audio-analysis/3RJof5CojqlbgZ5adHw50O,0.248,238040.0,0.324,0.00946,9.0,0.113,-10.878,1.0,0.03,135.786,4.0,0.122,False,['classic canadian rock'],unknown
Hurts So Good,John Cougar,28,1980,John Cougar,1982,Hurts So Good,John Mellencamp,67eX1ovaHyVPUinMHeUtIM,spotify:track:67eX1ovaHyVPUinMHeUtIM,69,0.0475,https://api.spotify.com/v1/audio-analysis/67eX1ovaHyVPUinMHeUtIM,0.812,218960.0,0.724,4.5e-05,9.0,0.109,-5.321,1.0,0.0355,125.437,4.0,0.969,False,"['album rock', 'classic rock', 'folk rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'singer-songwriter', 'soft rock']",rock
Hot In The City,Billy Idol,27,1980,Billy Idol,1982-01-01,Hot In The City,Billy Idol,5LeDMHIZ5YDZ2b1VOcYVcG,spotify:track:5LeDMHIZ5YDZ2b1VOcYVcG,50,0.00316,https://api.spotify.com/v1/audio-analysis/5LeDMHIZ5YDZ2b1VOcYVcG,0.66,219133.0,0.897,2.25e-05,5.0,0.116,-5.558,1.0,0.0257,111.193,4.0,0.67,False,"['album rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",rock
Take On Me,a-ha,27,1980,a-ha,1985-06-01,Take on Me,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,spotify:track:2WfaOiMkCvy7F5fcp2zZ8L,82,0.018,https://api.spotify.com/v1/audio-analysis/2WfaOiMkCvy7F5fcp2zZ8L,0.573,225280.0,0.902,0.00125,6.0,0.0928,-7.638,0.0,0.054,84.412,4.0,0.876,False,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",pop
Naughty Girls (Need Love Too),Samantha Fox,27,1980,Samantha Fox,1987,Naughty Girls (Need Love Too),Samantha Fox,4FGAOmf2vxT7FF8w2vL6R6,spotify:track:4FGAOmf2vxT7FF8w2vL6R6,32,0.0419,https://api.spotify.com/v1/audio-analysis/4FGAOmf2vxT7FF8w2vL6R6,0.824,310387.0,0.82,0.00492,1.0,0.14,-6.678,1.0,0.106,112.822,4.0,0.909,False,"['europop', 'freestyle', 'hi-nrg', 'italian disco', 'new wave pop']",pop
Who Can It Be Now?,Men At Work,27,1980,Men At Work,1982,Who Can It Be Now?,Men At Work,5rfJ2Bq2PEL8yBjZLzouEu,spotify:track:5rfJ2Bq2PEL8yBjZLzouEu,62,0.0627,https://api.spotify.com/v1/audio-analysis/5rfJ2Bq2PEL8yBjZLzouEu,0.805,201293.0,0.479,0.000143,4.0,0.104,-14.734,1.0,0.0436,128.411,4.0,0.962,False,"['album rock', 'australian rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock']",rock
The Loco-Motion,Kylie Minogue,27,1980,Kylie Minogue,1988-07-04,The Loco-Motion,Kylie Minogue,2pX5qSgxQFwlrkjxph8fxb,spotify:track:2pX5qSgxQFwlrkjxph8fxb,55,0.385,https://api.spotify.com/v1/audio-analysis/2pX5qSgxQFwlrkjxph8fxb,0.748,193920.0,0.915,0.0585,3.0,0.0235,-5.23,1.0,0.0376,129.0,4.0,0.763,False,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop rock']",pop
1999,Prince,27,1980,Prince,1982-10-27,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,67,0.137,https://api.spotify.com/v1/audio-analysis/2H7PHVdQ3mXqEHXcvclTB0,0.866,379267.0,0.73,0.0,5.0,0.0843,-8.201,1.0,0.0767,118.523,4.0,0.625,False,"['bachata', 'latin', 'latin pop', 'pop', 'tropical']",pop
Mickey,Toni Basil,27,1980,Toni Basil,2019-05-31,Hey Mickey,Toni Basil,1PrEgURTPcCqoRU36YdGM5,spotify:track:1PrEgURTPcCqoRU36YdGM5,38,0.083,https://api.spotify.com/v1/audio-analysis/1PrEgURTPcCqoRU36YdGM5,0.59,252991.0,0.933,0.0,4.0,0.0411,-5.372,1.0,0.0609,149.399,4.0,0.979,False,['new wave pop'],pop
Queen Of Hearts,Juice Newton,27,1980,Juice Newton,1988-10-19,Queen Of Hearts,Juice Newton,6xBUWSz8INNHO6wFYuPtQl,spotify:track:6xBUWSz8INNHO6wFYuPtQl,50,0.211,https://api.spotify.com/v1/audio-analysis/6xBUWSz8INNHO6wFYuPtQl,0.669,206867.0,0.779,8.98e-05,2.0,0.132,-11.522,1.0,0.0533,169.478,4.0,0.975,False,"['country dawn', 'nashville sound', 'soft rock']",country
Missing You,Diana Ross,27,1980,Diana Ross,1984-09-13,Missing You,Diana Ross,0jVfjWK9DUc5ShqwwPADyp,spotify:track:0jVfjWK9DUc5ShqwwPADyp,33,0.658,https://api.spotify.com/v1/audio-analysis/0jVfjWK9DUc5ShqwwPADyp,0.644,245347.0,0.355,0.00116,4.0,0.0485,-11.41,0.0,0.0366,86.822,4.0,0.187,False,"['adult standards', 'disco', 'funk', 'mellow gold', 'motown', 'quiet storm', 'soft rock', 'soul']",pop
On The Dark Side,John Cafferty & The Beaver Brown Band,27,1980,John Cafferty & The Beaver Brown Band,1983,On The Dark Side,Various Artists,7DhNAYOzIRkEFqimYl2s1G,spotify:track:7DhNAYOzIRkEFqimYl2s1G,47,0.0357,https://api.spotify.com/v1/audio-analysis/7DhNAYOzIRkEFqimYl2s1G,0.392,161827.0,0.727,0.000239,9.0,0.754,-11.913,1.0,0.155,171.653,4.0,0.365,False,[],unknown
I Love You,Climax Blues Band,27,1980,Climax Blues Band,1980,I Love You,Climax Blues Band,3VyJPsb2ucaaVptLSDpJNH,spotify:track:3VyJPsb2ucaaVptLSDpJNH,48,0.608,https://api.spotify.com/v1/audio-analysis/3VyJPsb2ucaaVptLSDpJNH,0.559,245452.0,0.446,0.000131,10.0,0.0902,-8.805,1.0,0.0349,131.792,4.0,0.239,False,"['blues-rock', 'british blues', 'classic rock', 'country rock', 'soft rock']",rock
Steppin' Out,Joe Jackson,27,1980,Joe Jackson,1982-01-01,Steppin' Out,Joe Jackson,2KY0QUeRY3IPuJI1gyU9BJ,spotify:track:2KY0QUeRY3IPuJI1gyU9BJ,50,0.0426,https://api.spotify.com/v1/audio-analysis/2KY0QUeRY3IPuJI1gyU9BJ,0.591,268200.0,0.225,0.00365,11.0,0.0614,-20.344,1.0,0.0382,159.684,4.0,0.529,False,"['album rock', 'art rock', 'classic uk pop', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'soft rock']",rock
A Woman Needs Love (Just Like You Do),Ray Parker Jr. & Raydio,27,1980,Ray Parker Jr. & Raydio,2018-11-09,A Woman Needs Love (Just Like You Do),"Ray Parker, Jr.",6NRJaJUS7rtm3XZNOboH4q,spotify:track:6NRJaJUS7rtm3XZNOboH4q,14,0.197,https://api.spotify.com/v1/audio-analysis/6NRJaJUS7rtm3XZNOboH4q,0.76,244133.0,0.465,2.97e-06,6.0,0.185,-12.07,0.0,0.0328,92.277,4.0,0.866,False,"['disco', 'funk', 'post-disco', 'quiet storm']",pop
Something About You,Level 42,27,1980,Level 42,1989-01-01,Something About You - Single Version,Level 42,2uXewDKMktNkkMfotqSxN6,spotify:track:2uXewDKMktNkkMfotqSxN6,57,0.0319,https://api.spotify.com/v1/audio-analysis/2uXewDKMktNkkMfotqSxN6,0.707,223440.0,0.568,0.0298,6.0,0.055,-13.52,0.0,0.0291,105.326,4.0,0.877,False,"['art rock', 'brit funk', 'classic uk pop', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-disco', 'soft rock', 'synthpop']",rock
All Out Of Love,Air Supply,27,1980,Air Supply,1980,All Out of Love,Air Supply,7dQC53NiYOY9gKg3Qsu2Bs,spotify:track:7dQC53NiYOY9gKg3Qsu2Bs,65,0.313,https://api.spotify.com/v1/audio-analysis/7dQC53NiYOY9gKg3Qsu2Bs,0.512,243000.0,0.262,5.51e-06,0.0,0.456,-16.875,1.0,0.0276,108.381,4.0,0.357,False,"['adult standards', 'mellow gold', 'soft rock']",pop
867-5309/jenny,Tommy Tutone,27,1980,Tommy Tutone,1981,867-5309 / Jenny,Tommy Tutone,6iX1f3r7oUJnMbGgQ2gx1j,spotify:track:6iX1f3r7oUJnMbGgQ2gx1j,60,0.0264,https://api.spotify.com/v1/audio-analysis/6iX1f3r7oUJnMbGgQ2gx1j,0.584,226200.0,0.708,0.00364,5.0,0.112,-10.039,1.0,0.0593,137.657,4.0,0.564,False,"['album rock', 'new wave pop']",pop
"Wild, Wild West",The Escape Club,27,1980,The Escape Club,2008-10-01,Wild Wild West,The Escape Club,4Qn1QhHhUT01LfpBnC7xnf,spotify:track:4Qn1QhHhUT01LfpBnC7xnf,45,0.0187,https://api.spotify.com/v1/audio-analysis/4Qn1QhHhUT01LfpBnC7xnf,0.724,244827.0,0.907,4.97e-06,11.0,0.0824,-4.78,0.0,0.0632,139.016,4.0,0.962,False,[],unknown
Twilight Zone,Golden Earring,27,1980,Golden Earring,2008-10-22,Twilight Zone,Golden Earring,3ztKHejzVoxJRKSZHFFMdJ,spotify:track:3ztKHejzVoxJRKSZHFFMdJ,54,0.00785,https://api.spotify.com/v1/audio-analysis/3ztKHejzVoxJRKSZHFFMdJ,0.656,478107.0,0.756,3.49e-05,11.0,0.0927,-6.516,0.0,0.0399,118.56,4.0,0.542,False,"['album rock', 'classic rock', 'dutch prog', 'dutch rock', 'nederpop', 'rock']",rock
The Flame,Cheap Trick,27,1980,Cheap Trick,1988-04-12,The Flame,Cheap Trick,528CAH5pTLq86oZ52fHifA,spotify:track:528CAH5pTLq86oZ52fHifA,60,0.513,https://api.spotify.com/v1/audio-analysis/528CAH5pTLq86oZ52fHifA,0.629,338800.0,0.581,2.06e-06,4.0,0.0755,-11.856,1.0,0.027,97.074,4.0,0.359,False,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam metal', 'glam rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'power pop', 'rock', 'soft rock']",rock
Conga,Miami Sound Machine,27,1980,Miami Sound Machine,1985-08-13,Conga,Miami Sound Machine,3FdHgoJbH3DXNtGLh56pFu,spotify:track:3FdHgoJbH3DXNtGLh56pFu,54,0.167,https://api.spotify.com/v1/audio-analysis/3FdHgoJbH3DXNtGLh56pFu,0.789,254000.0,0.655,0.0409,2.0,0.0311,-14.825,1.0,0.0474,122.236,4.0,0.865,False,['new wave pop'],pop
I Feel For You,Chaka Khan,26,1980,Chaka Khan,1984,I Feel for You,Chaka Khan,5yR9u8QiOt8hJaddv32oo7,spotify:track:5yR9u8QiOt8hJaddv32oo7,57,0.012,https://api.spotify.com/v1/audio-analysis/5yR9u8QiOt8hJaddv32oo7,0.794,218880.0,0.925,0.319,11.0,0.197,-3.778,1.0,0.0625,124.884,4.0,0.931,False,"['dance pop', 'disco', 'funk', 'motown', 'neo soul', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']",pop
The Lady In Red,Chris de Burgh,26,1980,Chris de Burgh,1986-01-01,The Lady In Red,Chris de Burgh,1GeNWyZtCHbcp3ZWp8GTOO,spotify:track:1GeNWyZtCHbcp3ZWp8GTOO,71,0.332,https://api.spotify.com/v1/audio-analysis/1GeNWyZtCHbcp3ZWp8GTOO,0.548,256173.0,0.294,3.34e-06,10.0,0.0392,-17.112,1.0,0.0333,76.698,4.0,0.491,False,"['mellow gold', 'new wave pop', 'soft rock']",pop
You Got It All,The Jets,26,1980,The Jets,2001-01-01,You Got It All,The Jets,6DHrIQHwu9GRrqzocQvONi,spotify:track:6DHrIQHwu9GRrqzocQvONi,36,0.158,https://api.spotify.com/v1/audio-analysis/6DHrIQHwu9GRrqzocQvONi,0.725,248933.0,0.416,0.0,5.0,0.0692,-7.479,0.0,0.0244,83.541,4.0,0.506,False,"['freestyle', 'minneapolis sound', 'new jack swing', 'new wave pop', 'quiet storm', 'urban contemporary']",pop
