song,performer,count,year
Another Sleepless Night,Jimmy Clanton,13,1960
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,12,2011
Centuries,Fall Out Boy,14,2014
Sugar,Flo Rida Featuring Wynter,18,2009
Christmas Lights,Coldplay,2,2010
One Of Us,Joan Osborne,4,1995
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",12,2018
Billionaire,Glee Cast,1,2010
Start Me Up / Livin' On A Prayer,Glee Cast,1,2010
Blue Blue Day,Don Gibson,8,1958
Can't Nobody Hold Me Down,Puff Daddy (Featuring Mase),28,1997
Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone,2,2005
Don't Let It End,Styx,16,1983
A Year Without Rain,Selena Gomez & The Scene,6,2010
Red Solo Cup,Toby Keith,8,2011
