Country,Genre,Radio ID,Radio logo,Radio Name,Stream URL
FR,Hip Hop,15713,allzic-rap-us.jpg,Allzic Rap US,http://allzic01.ice.infomaniak.ch/allzic01.mp3?type=.mp3/;stream.mp3
FR,RnB,15714,allzic-rnb.jpg,Allzic RnB,http://allzic08.ice.infomaniak.ch/allzic10.mp3?type=.mp3/;stream.mp3
FR,Rock,15715,allzic-rock-fm.jpg,Allzic Rock FM,http://allzic17.ice.infomaniak.ch/allzic17.mp3?type=.mp3/;stream.mp3
FR,Hits,15716,allzic-top-10.jpg,Allzic Top 10,http://allzic22.ice.infomaniak.ch/allzic22.mp3?type=.mp3/;stream.mp3
FR,Local,15717,allzic-zouk.jpg,Allzic Zouk,http://allzic28.ice.infomaniak.ch/allzic28.mp3?type=.mp3/;stream.mp3
PK,Music,23817,antyradio-ballads.jpg,AntyRadio Ballads,http://antbal-01.cdn.eurozet.pl:8002/;stream.mp3
GR,Hits,17788,ballando-web-radio.jpg,Ballando Web Radio,http://dj.mediastreaming.it:7334/;stream.mp3
AT,Top 40,8210,ballermann-radio.jpg,Ballermann Radio,http://stream.bmr-radio.de/
DE,Disco,11967,ballermann-radio.jpg,Ballermann Radio,http://stream.bmr-radio.de/
UK,News,230,bbc-radio-cornwall.jpg,BBC Radio Cornwall,http://bbcmedia.ic.llnwd.net/stream/bbcmedia_lrcorn_mf_p
CO,Ballade,11048,besame-100-4-fm.jpg,Besame 100.4 FM,http://playerservices.streamtheworld.com/api/livestream-redirect/BESAME_NACIONALAAC.aac
US,Reggae,2248,bigupradio-dancehall.jpg,BigupRadio Dancehall,http://radio.bigupradio.com:8000/;
ES,Indie,14415,bn-mallorca.jpg,BN Mallorca,http://91.121.156.27:8008/stream?type=.mp3/;stream.mp3
US,Oldies,2295,boomer-radio-all-hit-oldies.jpg,Boomer Radio All Hit Oldies,http://boomerradio-ice.streamguys.com/boomerradio-hitoldies-32
ES,Music,14439,cadena-ser-palma-de-mallorca.jpg,Cadena SER Palma de Mallorca,http://playerservices.streamtheworld.com/api/livestream-redirect/SER_MALLORCA.mp3
ES,Music,14441,cadena-ser-tafalla.jpg,Cadena SER Tafalla,http://emisoras.cadenaser.com:8085/tafalla?type=.mp3/;stream.mp3
HU,80s,18937,callisto-radio.jpg,Callisto Radio,http://ns.newfruits.org:8086/;
MX,Local,21394,candela-valladolid.jpg,Candela Valladolid,http://5.79.86.158:8209/stream
SE,Pop,25842,cannonball-rock-radio.jpg,Cannonball Rock Radio,http://91.121.157.114:8421/;stream.mp3
CL,Pop,10687,carnaval-ovalle.jpg,Carnaval Ovalle,http://tunein.digitalproserver.com:80/carnaval_ovalle?type=.mp3/;stream.mp3
CA,Music,6213,chaa-la-radio-allum-e-103-3-fm.jpg,CHAA La Radio Allum E 103.3 FM,http://stream02.ustream.ca:8000/fm103332.mp3
FR,Culture,15865,challenger-web-radio.jpg,Challenger Web Radio,http://www.englandproxy.co.uk/streaming.radionomy.com/ChallengerWebRadio?type=.mp3/;stream.mp3
AR,Tango,7676,cien-radios-all-about-tango.jpg,CIEN Radios All About Tango,http://buecrp01.cienradios.com.ar/566_All_About_Tango_32000.aac
CA,Music,6545,ckvl-radio-lasalle-100-1-fm.jpg,CKVL Radio Lasalle 100.1 FM,http://stardust.wavestreamer.com:5167/Live
UK,Classic,388,classic-all-radio.jpg,Classic All Radio,http://streaming.radio.co/s518e9174f/listen
ES,Electro,14474,clubfm-mallorca.jpg,ClubFM Mallorca,http://streaming.enantena.com:8000/clubfmmallorca128.mp3?type=.mp3/;stream.mp3
CO,Music,11106,colombia-vallenata.jpg,Colombia Vallenata,http://www.englandproxy.co.uk/listen.radionomy.com/colombiavallenata?type=.mp3/;stream.mp3
US,Variety,2488,dallas-high-life-radio.jpg,Dallas High Life Radio,http://thassos.cdnstream.com:5252/;
UK,Dance,451,dancehall-jams.jpg,Dancehall Jams,http://198.105.220.12:3058/Live?type=.mp3/;stream.mp3
US,Dance,2490,dancehall-link.jpg,Dancehall Link,http://99.198.118.250:8016/;stream.mp3
ES,Music,14505,das-inselradio-mallorca.jpg,Das InselRadio Mallorca,http://stream.inselradio.com:20800/high.inselradio.mp3?type=.mp3/;stream.mp3
MX,Music,21414,dihitall-107-1-fm.jpg,Dihitall 107.1 FM,http://69.30.238.18:8062
DK,Pop,13603,dr-p4-sjalland.jpg,Dr P4 Sjalland,http://live-icy.gss.dr.dk:80/A/A11H.mp3
ES,Local,14532,el-gallo-rock-radio.jpg,El Gallo Rock Radio,http://www.englandproxy.co.uk/streaming.radionomy.com/ElgalloRock?type=.mp3/;stream.mp3
AR,Sports Talk,7719,espn-deportes-dallas.jpg,ESPN Deportes Dallas,http://playerservices.streamtheworld.com/api/livestream-redirect/KESNFM.mp3
MX,Pop,21455,explosiva-puerto-vallarta.jpg,Explosiva Puerto Vallarta,http://s1.vvtelecom.net:8000/kebuenaptv
UA,Lounge,27216,fallen-from-grace-lounge.jpg,Fallen From Grace Lounge,http://69.175.13.134:8100/;
GR,Mix,17879,falling-stars.jpg,Falling Stars,http://www.englandproxy.co.uk/listen.radionomy.com/korea-station?type=.mp3/;stream.mp3
IE,Music,1648,finn-valley-fm.jpg,Finn Valley FM,http://192.99.8.192:2874/;stream.mp3
US,Music,2638,fireball-run-radio.jpg,Fireball Run Radio,http://173.198.239.99:8000/stream?type=.mp3/;stream.mp3
ES,Dancehall,14564,fm-urban.jpg,FM Urban,http://46.19.224.157:8000/;
CH,Music,10298,fm1-st-gallen.jpg,FM1 St Gallen,http://radiofm1.ice.infomaniak.ch/radiofm1-128.mp3
UK,Folk,569,folk-alley.jpg,Folk Alley,http://66.225.205.9/;stream.mp3
DE,Party,12337,fussballhits.jpg,Fussballhits,http://mp3channels.webradio.antenne.de/event
UK,Top 40,663,hallam-fm.jpg,Hallam Fm,http://www.englandproxy.co.uk/tx.sharp-stream.com/http_live.php?i=hallam.mp3
US,Music,2761,halloween-atmosphere.jpg,Halloween Atmosphere,http://listen.radionomy.com/HR_atmosphere_2012
US,Music,2762,halloween-kids.jpg,Halloween Kids,http://listen.radionomy.com/hr2011_kids-b
US,Music,2763,halloween-oldies.jpg,Halloween Oldies,http://listen.radionomy.com/HR_oldies_2012
US,Music ,2764,halloweenradio.jpg,Halloweenradio,https://www.justproxy.co.uk/index.php?q=aHR0cDovL3N0cmVhbWluZy5yYWRpb25vbXkuY29tL0NoaWxsSGl0czRV
US,Music,2765,halloweenradio-newr.jpg,HalloweenRadio Newr,http://70.38.12.44:8502
SE,World,25872,hallsta-sura-narradio.jpg,Hallsta Sura Narradio,http://s16.myradiostream.com:6630/;stream.mp3
